ticker,price_before,price_1d_after,price_1w_after,change_1d_pct,change_1w_pct,sentiment_ratio
TSLA,387.51,373.72,372.8,-3.56,-3.8,0.2343
JNJ,238.73,237.31,224.87,-0.6,-5.81,0.2754
V,308.66,334.17,321.36,8.26,4.12,0.1518
KO,77.85,78.36,77.98,0.66,0.17,-0.01930000000000001
BAC,54.04,53.23,52.85,-1.49,-2.21,0.27599999999999997
AMZN,263.04,265.06,274.99,0.77,4.54,0.1359
MS,190.6,186.32,190.03,-2.24,-0.3,-0.023499999999999997
CVS,86.86,87.36,98.11,0.58,12.95,0.05459999999999998
GS,886.88,905.64,937.61,2.11,5.72,-0.10899999999999999
UNH,344.05,351.51,364.69,2.17,6.0,0.026500000000000024
GOOGL,349.73,384.57,397.8,9.96,13.75,0.0789
META,668.5,611.34,612.31,-8.55,-8.41,0.1104
JPM,311.12,305.93,313.0,-1.67,0.6,0.2467
MSFT,423.54,406.9,413.07,-3.93,-2.47,-0.05500000000000002
ABT,95.47,96.81,92.48,1.4,-3.13,-0.013399999999999995
WFC,81.24,79.83,81.09,-1.73,-0.18,0.2458
WMT,121.34,120.27,115.75,-0.88,-4.61,0.17569999999999997
NVDA,223.21,219.25,214.0,-1.77,-4.13,0.12999999999999998
AAPL,271.1,279.88,287.18,3.24,5.93,0.2132
PFE,26.02,26.1,25.87,0.3,-0.58,0.00040000000000001146
